V0: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V1: [0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V2: [0, 22, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V3: [0, 22, 2, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V4: [1, 22, 2, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V5: [1, 22, 2, 19, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V6: [1, 22, 2, 19, 50, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V7: [1, 22, 2, 19, 50, 66, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V8: [1, 22, 2, 19, 50, 66, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V9: [1, 22, 2, 19, 50, 66, 17, 16, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0]
V10: [1, 22, 2, 19, 50, 66, 17, 16, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 0]
V11: [1, 22, 2, 19, 50, 66, 17, 16, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 19]
